No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q34.html"",""令和5年春期 問34"")",2025/2/26
2,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q90.html"",""令和2年秋期 問90"")",2025/2/26
3,○,ストラテジ系,経営戦略,技術戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q35.html"",""令和2年秋期 問35"")",2025/2/26
4,○,マネジメント系,企業と法務,システム監査,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q41.html"",""令和2年秋期 問41"")",2025/2/26
5,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q98.html"",""令和4年春期 問98"")",2025/2/26
6,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q97.html"",""令和2年秋期 問97"")",2025/2/26
7,×,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q34.html"",""令和6年春期 問34"")",2025/2/26
8,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q69.html"",""令和5年春期 問69"")",2025/2/26
9,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q82.html"",""令和3年春期 問82"")",2025/2/26
10,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q28.html"",""令和6年春期 問28"")",2025/2/26
11,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q41.html"",""令和5年春期 問41"")",2025/2/26
12,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q67.html"",""令和4年春期 問67"")",2025/2/26
13,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q12.html"",""令和4年春期 問12"")",2025/2/26
14,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q72.html"",""令和4年春期 問72"")",2025/2/26
15,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q68.html"",""令和2年秋期 問68"")",2025/2/26
16,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q4.html"",""令和2年秋期 問4"")",2025/2/26
17,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q57.html"",""令和5年春期 問57"")",2025/2/26
18,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q78.html"",""令和2年秋期 問78"")",2025/2/26
19,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q93.html"",""令和6年春期 問93"")",2025/2/26
20,○,マネジメント系,企業と法務,システム監査,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q53.html"",""令和5年春期 問53"")",2025/2/26
21,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q82.html"",""令和4年春期 問82"")",2025/2/26
22,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q20.html"",""令和5年春期 問20"")",2025/2/26
23,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q52.html"",""令和3年春期 問52"")",2025/2/26
